Year,Round,EventName,SessionCode,FullName,TeamName,BestLapTime,AvgLapTime,LapCount,BestSector1,BestSector2,BestSector3
2026,5,Canadian Grand Prix,FP1,None None,,74.799,75.739571428,7.0,21.3,23.4,29.707
2026,5,Canadian Grand Prix,FP1,None None,,74.366,76.702333333,15.0,21.214,23.594,29.558
2026,5,Canadian Grand Prix,FP1,None None,,76.214,77.2364,10.0,21.588,23.951,30.413
2026,5,Canadian Grand Prix,FP1,None None,,76.253,76.962636363,11.0,21.833,24.212,30.166
2026,5,Canadian Grand Prix,FP1,None None,,76.809,77.538571428,7.0,22.086,24.426,30.139
2026,5,Canadian Grand Prix,FP1,None None,,77.926,78.16275,8.0,22.233,24.813,30.525
2026,5,Canadian Grand Prix,FP1,None None,,73.402,75.5239,10.0,20.785,23.33,29.287
2026,5,Canadian Grand Prix,FP1,None None,,75.863,77.0765,8.0,21.317,24.174,30.364
2026,5,Canadian Grand Prix,FP1,None None,,74.355,76.234636363,11.0,20.942,23.697,29.692
2026,5,Canadian Grand Prix,FP1,None None,,76.978,77.709714285,7.0,21.765,24.46,30.717
2026,5,Canadian Grand Prix,FP1,None None,,76.642,77.269666666,3.0,21.827,24.425,30.39
2026,5,Canadian Grand Prix,FP1,None None,,75.698,76.72375,4.0,21.633,24.003,30.062
2026,5,Canadian Grand Prix,FP1,None None,,77.431,77.8755,2.0,22.285,24.467,30.679
2026,5,Canadian Grand Prix,FP1,None None,,76.497,77.544875,8.0,21.859,24.195,30.207
2026,5,Canadian Grand Prix,FP1,None None,,75.452,76.4172,10.0,21.576,23.894,29.693
2026,5,Canadian Grand Prix,FP1,None None,,,,,,,
2026,5,Canadian Grand Prix,FP1,None None,,74.176,76.0295,12.0,20.91,23.494,29.772
2026,5,Canadian Grand Prix,FP1,None None,,76.66,77.356384615,13.0,21.822,24.36,30.411
2026,5,Canadian Grand Prix,FP1,None None,,73.544,75.559307692,13.0,20.896,23.224,29.424
2026,5,Canadian Grand Prix,FP1,None None,,77.868,78.289111111,9.0,22.241,24.761,30.771
2026,5,Canadian Grand Prix,FP1,None None,,74.963,76.390916666,12.0,21.26,23.308,29.892
2026,5,Canadian Grand Prix,FP1,None None,,77.77,78.22725,4.0,22.259,24.662,30.659
